"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","N_phys","decay_rate","hidden_dim","lr","w_data_init","w_phys_init","config/N_phys","config/decay_rate","config/hidden_dim","config/lr","config/w_data_init","config/w_phys_init","done","epoch","iterations_since_restore","pid","time_since_restore","time_this_iter_s","time_total_s","timestamp","train_data","train_phys","train_total","training_iteration","trial_id","val_data","val_phys","val_total","trial_name"
"2025-11-20 13:15:22","1.1h","8438f4ae98704fd59f81872e79e44687","trainable_pinn_ray_0f697083","","","unknown","FINISHED","320","0.09288558148130364","32","0.007524524083486846","0.6148085190896618","0.14109827095149352","320","0.09288558148130364","32","0.007524524083486846","0.6148085190896618","0.14109827095149352","0","50","1","26396","3774.720018386841","3774.720018386841","3774.720018386841","1763644698","0.011687587852580379","1.3140023549397786","0.009142096374522556","1","","0.0036617651057108966","3.0226037052247983","0.006751753888473331","trainable_pinn_ray_0f697083"
"2025-11-20 13:03:52","1.2h","bf87f66fef2d4fceba984e15f050dce1","trainable_pinn_ray_ea2377ad","","","unknown","FINISHED","502","0.08832466613078994","256","0.0027377894561173215","0.6478716569215605","0.14744337820259032","502","0.08832466613078994","256","0.0027377894561173215","0.6478716569215605","0.14744337820259032","0","50","1","23216","4248.654159069061","4248.654159069061","4248.654159069061","1763644482","0.00914799387783113","0.9366740180988504","0.007749055639248003","1","","0.003410042779520909","2.4825688394414587","0.007039187781853017","trainable_pinn_ray_ea2377ad"
"2025-11-20 14:42:37","7.8min","1b497ba6aea348fc97ac1a560ac81273","trainable_pinn_ray_86ad53c7","","","unknown","FINISHED","294","0.07331098224015106","128","0.008763410937852871","0.3440648582807886","0.07172525377806638","294","0.07331098224015106","128","0.008763410937852871","0.3440648582807886","0.07172525377806638","0","50","1","21036","463.81886744499207","463.81886744499207","463.81886744499207","1763646621","0.012569050172889474","0.9087168004777696","0.0061193494864673625","1","","0.006360194856824819","2.656340643720599","0.0074347831340412","trainable_pinn_ray_86ad53c7"
"2025-11-20 14:29:08","7.3min","7c589258cce04a8e9ec825c3981c00b7","trainable_pinn_ray_c79ebbd2","","","unknown","FINISHED","258","0.08617086862489588","128","0.009993012934790258","0.48334595998589946","0.08307464746634832","258","0.08617086862489588","128","0.009993012934790258","0.48334595998589946","0.08307464746634832","0","50","1","2740","433.9695899486542","433.9695899486542","433.9695899486542","1763645783","0.01188523465052548","0.9643250953067433","0.006919412242455615","1","","0.008110525514566478","3.1166225802314385","0.007716831457455681","trainable_pinn_ray_c79ebbd2"
"2025-11-20 14:34:07","7.6min","afd9595f637b462786fa8c5cb31c09b3","trainable_pinn_ray_0aa9b525","","","unknown","FINISHED","265","0.08677427036144729","128","0.00978104657455855","0.5630928120979599","0.0811962820838394","265","0.08677427036144729","128","0.00978104657455855","0.5630928120979599","0.0811962820838394","0","50","1","23700","451.0403368473053","451.0403368473053","451.0403368473053","1763646098","0.012193453980779105","1.1844545932129176","0.008235227286984975","1","","0.005318386811436028","4.151789918069537","0.007794043869540015","trainable_pinn_ray_0aa9b525"
"2025-11-20 15:01:59","8.2min","bb2b59ddba7e495fbd4c0689df77b809","trainable_pinn_ray_236a913c","","","unknown","FINISHED","406","0.09605590068964655","128","0.006522507468292934","0.7271452390977632","0.10232944273846638","406","0.09605590068964655","128","0.006522507468292934","0.7271452390977632","0.10232944273846638","0","50","1","38668","488.3233850002289","488.3233850002289","488.3233850002289","1763647808","0.009237396866647584","0.778988249675192","0.00743707548262495","1","","0.00809453604521749","2.101942337383798","0.007829072347724052","trainable_pinn_ray_236a913c"
"2025-11-20 15:09:46","5.4min","b2004f1bfc734ee0967e5397727e9dbb","trainable_pinn_ray_16147b33","","","unknown","FINISHED","443","0.09955708177300013","128","0.007807369573849195","0.7187072588379148","0.10181748797706075","443","0.09955708177300013","128","0.007807369573849195","0.7187072588379148","0.10181748797706075","0","50","1","6060","320.40763092041016","320.40763092041016","320.40763092041016","1763648106","0.012995772516223216","1.9033718959851698","0.010814940508906589","1","","0.006435827139562639","4.257196891204768","0.007924067999359663","trainable_pinn_ray_16147b33"
"2025-11-20 12:58:14","1.2h","99e9308e276a4180baea555e4a1d1c75","trainable_pinn_ray_64805d1e","","","unknown","FINISHED","508","0.0916256068000321","256","0.005713780217669965","0.6590206877447206","0.15555718886418446","508","0.0916256068000321","256","0.005713780217669965","0.6590206877447206","0.15555718886418446","0","50","1","11472","4452.139794826508","4452.139794826508","4452.139794826508","1763644348","0.010316483062136957","0.9382437926350218","0.008437000289371218","1","","0.004804959047966099","2.7982209542986296","0.008052413870361624","trainable_pinn_ray_64805d1e"
"2025-11-20 14:45:17","8.3min","9917e90ff72d481a87f7b4df6528e240","trainable_pinn_ray_f261c997","","","unknown","FINISHED","425","0.0748919536085792","128","0.008322364525220676","0.698769419944571","0.051025236814618645","425","0.0748919536085792","128","0.008322364525220676","0.698769419944571","0.051025236814618645","0","50","1","25884","490.2253746986389","490.2253746986389","490.2253746986389","1763646807","0.010034016332579682","0.9720179103841685","0.008275403139755281","1","","0.007214852056774024","2.529118562294358","0.008330195363109494","trainable_pinn_ray_f261c997"
"2025-11-20 14:35:20","7.8min","9406b338c1e2423ca501482d39c6f776","trainable_pinn_ray_93e3e39c","","","unknown","FINISHED","277","0.08669966655588301","128","0.009041852510197918","0.4716371331224377","0.0797942320845771","277","0.08669966655588301","128","0.009041852510197918","0.4716371331224377","0.0797942320845771","0","50","1","35112","457.8373382091522","457.8373382091522","457.8373382091522","1763646179","0.011969690205472889","0.7920513819564473","0.006548414718961776","1","","0.011987839573214682","2.4918401255044196","0.008495003764375775","trainable_pinn_ray_93e3e39c"
"2025-11-20 12:18:30","14.4min","78e56f6f65d94e92af2ea6b740baa85e","trainable_pinn_ray_c5adf0bd","","","unknown","FINISHED","382","0.09943257421226409","256","0.004755379876183506","0.8539844346109224","0.194713328341038","382","0.09943257421226409","256","0.004755379876183506","0.8539844346109224","0.194713328341038","0","50","1","1064","830.996691942215","830.996691942215","830.996691942215","1763638342","0.008902241546434887","0.810789679457443","0.008811124161149216","1","","0.005294287354738814","2.714120171255612","0.008567527602292782","trainable_pinn_ray_c5adf0bd"
"2025-11-20 14:42:06","8.0min","565612cb103847f29a5a4914cbabf6b0","trainable_pinn_ray_53e5ffb3","","","unknown","FINISHED","319","0.07147628922697186","128","0.00909808478043793","0.3605597048818661","0.06982870760987629","319","0.07147628922697186","128","0.00909808478043793","0.3605597048818661","0.06982870760987629","0","50","1","38888","474.11967849731445","474.11967849731445","474.11967849731445","1763646600","0.011495063199915669","0.8606630247650724","0.005955250256911221","1","","0.009533285018882693","2.642967285615223","0.008997380629906671","trainable_pinn_ray_53e5ffb3"
"2025-11-20 12:18:09","13.0min","a58fe7ccb819436a928ccb8794d4e49d","trainable_pinn_ray_261c74b3","","","unknown","FINISHED","375","0.07384751433428988","256","0.006247808716591465","0.8443727795010502","0.09886988072057266","375","0.07384751433428988","256","0.006247808716591465","0.8443727795010502","0.09886988072057266","0","50","1","32696","765.3088760375977","765.3088760375977","765.3088760375977","1763638255","0.00941848313021991","0.6840885237009838","0.009766845617706727","1","","0.004064265619980602","2.116979049502601","0.009045772464834687","trainable_pinn_ray_261c74b3"
"2025-11-20 14:15:28","12.2min","a043dac0d2c04aa081f9d769cf87304c","trainable_pinn_ray_c9873021","","","unknown","FINISHED","474","0.09308947539473465","32","0.008017255395635551","0.5999000449131922","0.24448757580346359","474","0.09308947539473465","32","0.008017255395635551","0.5999000449131922","0.24448757580346359","0","50","1","41184","723.9051122665405","723.9051122665405","723.9051122665405","1763645253","0.011859482466572462","0.7883576914517566","0.009128210448067296","1","","0.005289198232931504","2.3086039423942566","0.009069869013173795","trainable_pinn_ray_c9873021"
"2025-11-20 15:01:38","8.3min","e1aa5ff9710e475f92fe252d7385ffb5","trainable_pinn_ray_61371783","","","unknown","FINISHED","393","0.09612214826420377","128","0.006530017744693604","0.42956879779937707","0.10428609623044888","393","0.09612214826420377","128","0.006530017744693604","0.42956879779937707","0.10428609623044888","0","50","1","31460","490.6874084472656","490.6874084472656","490.6874084472656","1763647789","0.009863885509960278","0.7782902880148455","0.004968099686495885","1","61371783","0.01690786133486924","2.438133956032459","0.009552709420354076","trainable_pinn_ray_61371783"
"2025-11-20 14:36:49","8.1min","78e9df891a5245a5bd8a36b88d5e5f8f","trainable_pinn_ray_116e04e0","","","unknown","FINISHED","421","0.07211913266082925","128","0.009550135828368328","0.359387992734495","0.07727498625109212","421","0.07211913266082925","128","0.009550135828368328","0.359387992734495","0.07727498625109212","0","50","1","44116","478.2508144378662","478.2508144378662","478.2508144378662","1763646287","0.012390984318247348","0.6693731412743077","0.005963185436158168","1","","0.005859541168886134","3.4427805953479296","0.009872291692338258","trainable_pinn_ray_116e04e0"
"2025-11-20 15:00:49","8.2min","0304d5348ec343a6989b54c6d24765eb","trainable_pinn_ray_756d4089","","","unknown","FINISHED","406","0.09565315460346077","128","0.006294065865611848","0.9545945308114177","0.3423795002598312","406","0.09565315460346077","128","0.006294065865611848","0.9545945308114177","0.3423795002598312","0","50","1","22428","484.15837025642395","484.15837025642395","484.15837025642395","1763647733","0.010158502638829175","0.6853185382154253","0.011859272848438435","1","","0.00312641732259157","2.2062898211245576","0.009944795052859227","trainable_pinn_ray_756d4089"
